id,Age,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Sleep Duration,Work/Study Hours,Financial Stress,sleep_hours,decision_fatigue_level
76179,20,3,0,7.82,5,More than 8 hours,8,5,8.5,0
76184,31,5,0,9.74,1,Less than 5 hours,12,1,4,2
76185,24,3,0,7.91,2,7-8 hours,10,1,7.5,1
76186,28,2,0,8.17,3,More than 8 hours,12,5,8.5,0
76195,22,5,0,9.72,5,Less than 5 hours,4,1,4,2
76196,21,1,0,6.99,1,Less than 5 hours,10,1,4,2
76198,21,2,0,9.42,1,7-8 hours,11,5,7.5,1
76200,18,5,0,7.87,2,More than 8 hours,7,2,8.5,0
76201,31,4,0,5.37,2,Less than 5 hours,12,2,4,2
76211,28,1,0,9.72,4,7-8 hours,11,1,7.5,0
76212,24,4,0,5.79,4,7-8 hours,10,2,7.5,0
76213,32,1,0,5.86,4,5-6 hours,12,2,5.5,2
76224,20,4,0,8.61,3,5-6 hours,2,4,5.5,2
76232,34,2,0,9.41,4,More than 8 hours,10,1,8.5,0
76233,18,3,0,5.7,4,Less than 5 hours,11,1,4,2
76234,31,2,0,7.22,4,5-6 hours,8,5,5.5,2
76235,20,3,0,7.09,5,5-6 hours,5,4,5.5,1
76238,18,5,0,7.88,1,5-6 hours,3,5,5.5,2
76248,28,3,0,6.89,5,Less than 5 hours,10,1,4,2
76252,28,3,0,8.96,2,More than 8 hours,10,5,8.5,0
76253,26,3,0,7.09,2,5-6 hours,5,4,5.5,1
76256,21,4,0,8.96,1,7-8 hours,6,5,7.5,0
76258,25,3,0,8.69,2,Less than 5 hours,3,5,4,0
76264,18,5,0,7.09,3,5-6 hours,5,3,5.5,2
76275,24,3,0,5.16,3,More than 8 hours,10,2,8.5,0
76279,21,5,0,7.03,3,More than 8 hours,6,3,8.5,0
76286,32,4,0,9.41,3,5-6 hours,12,4,5.5,2
76291,20,5,0,5.41,2,Less than 5 hours,3,4,4,2
76294,24,1,0,6.03,5,7-8 hours,10,5,7.5,0
76298,28,1,0,6.02,3,More than 8 hours,12,4,8.5,0
76304,29,5,0,9.26,2,More than 8 hours,12,5,8.5,0
76312,27,5,0,6.28,1,Less than 5 hours,12,5,4,2
76319,23,3,0,8.04,4,Less than 5 hours,2,4,4,0
76324,20,2,0,9.72,1,Less than 5 hours,9,4,4,2
76342,33,3,0,8.63,3,7-8 hours,11,4,7.5,1
76354,24,5,0,8.04,1,Less than 5 hours,8,5,4,2
76360,19,4,0,9.46,2,5-6 hours,10,2,5.5,2
76364,30,1,0,9.67,4,5-6 hours,3,3,5.5,0
76369,34,1,0,6.27,4,Less than 5 hours,7,2,4,2
76381,32,5,0,7.03,2,7-8 hours,10,3,7.5,0
76384,30,1,0,7.48,1,Less than 5 hours,12,5,4,2
76385,29,3,0,8.24,2,More than 8 hours,8,5,8.5,0
76392,24,5,0,9.19,5,More than 8 hours,0,2,8.5,0
76401,20,5,0,5.51,2,7-8 hours,11,1,7.5,0
76405,29,3,0,9.96,1,7-8 hours,8,4,7.5,1
76406,20,2,0,6.26,1,5-6 hours,10,4,5.5,2
76409,23,3,0,6.73,3,7-8 hours,8,2,7.5,1
76412,28,5,0,5.37,4,7-8 hours,3,1,7.5,0
76415,32,4,0,7.51,2,7-8 hours,12,5,7.5,0
76420,24,1,0,7.61,1,5-6 hours,0,3,5.5,0
76424,20,4,0,5.27,1,7-8 hours,4,1,7.5,0
76426,26,2,0,5.16,4,5-6 hours,2,3,5.5,1
76427,32,2,0,5.68,3,5-6 hours,1,4,5.5,1
76441,28,1,0,9.04,5,More than 8 hours,6,2,8.5,0
76449,29,3,0,5.84,1,7-8 hours,10,1,7.5,1
76453,34,1,0,5.51,3,More than 8 hours,0,4,8.5,0
76469,30,5,0,6.5,1,More than 8 hours,12,4,8.5,0
76473,25,2,0,6.42,3,7-8 hours,2,4,7.5,1
76483,27,3,0,9.66,4,5-6 hours,12,1,5.5,2
76484,33,1,0,5.42,3,7-8 hours,4,1,7.5,0
76487,33,5,0,8.04,1,More than 8 hours,8,1,8.5,0
76493,34,1,0,8.95,4,5-6 hours,3,1,5.5,0
76495,23,1,0,9.1,2,More than 8 hours,9,3,8.5,0
76502,20,4,0,7.94,3,5-6 hours,9,5,5.5,2
76510,24,4,0,9.21,4,More than 8 hours,4,4,8.5,0
76513,28,1,0,5.57,3,7-8 hours,11,1,7.5,0
76522,23,1,0,9.85,2,More than 8 hours,10,5,8.5,0
76525,24,4,0,6.78,5,More than 8 hours,10,3,8.5,0
76531,29,1,0,7.77,2,7-8 hours,8,1,7.5,0
76536,27,2,0,7.04,2,7-8 hours,2,5,7.5,1
76537,27,2,0,9.93,5,More than 8 hours,7,1,8.5,0
76539,23,5,0,5.76,4,Less than 5 hours,10,3,4,2
76541,19,1,0,7.79,1,Less than 5 hours,12,3,4,2
76547,18,1,0,6.99,2,Less than 5 hours,7,3,4,2
76548,33,2,0,7.21,4,5-6 hours,4,2,5.5,1
76559,33,5,0,8.62,4,7-8 hours,12,2,7.5,0
76563,29,5,0,8.17,5,More than 8 hours,8,5,8.5,0
76572,26,2,0,5.82,5,7-8 hours,9,5,7.5,1
76578,31,3,0,9.67,1,7-8 hours,12,4,7.5,1
76582,20,3,0,8.04,2,More than 8 hours,10,2,8.5,0
76584,20,4,0,5.37,3,More than 8 hours,11,4,8.5,0
76585,30,1,0,6.83,3,7-8 hours,9,3,7.5,0
76595,28,4,0,9.47,3,More than 8 hours,6,2,8.5,0
76604,26,5,0,9.67,4,5-6 hours,10,4,5.5,2
76612,28,1,0,7.39,1,5-6 hours,8,1,5.5,2
76614,32,4,0,9.91,5,More than 8 hours,5,2,8.5,0
76622,27,3,0,7.02,5,7-8 hours,11,5,7.5,1
76627,29,3,0,7.25,1,5-6 hours,12,5,5.5,2
76628,19,4,0,8.9,1,5-6 hours,12,2,5.5,2
76644,29,1,0,7.45,3,7-8 hours,10,2,7.5,0
76647,28,1,0,9.31,1,5-6 hours,2,4,5.5,0
76654,26,5,0,9.72,5,Less than 5 hours,10,2,4,2
76666,33,4,0,8.28,3,7-8 hours,11,1,7.5,0
76672,34,3,0,8.62,4,More than 8 hours,2,1,8.5,0
76676,28,3,0,5.37,3,More than 8 hours,11,2,8.5,0
76680,23,2,0,9.89,3,7-8 hours,4,3,7.5,1
76683,20,1,0,8.74,4,Less than 5 hours,6,1,4,0
76688,24,5,0,6.75,4,5-6 hours,10,4,5.5,2
76689,18,5,0,9.19,2,Less than 5 hours,4,3,4,2
76692,29,3,0,9.89,5,Less than 5 hours,4,2,4,0
76703,18,5,0,8.44,1,More than 8 hours,3,3,8.5,0
76706,29,1,0,9.95,1,Less than 5 hours,6,4,4,0
76712,19,5,0,6.69,5,Less than 5 hours,4,3,4,2
76731,20,2,0,6.25,2,Less than 5 hours,0,3,4,0
76736,20,3,0,6.37,4,7-8 hours,9,3,7.5,1
76747,20,3,0,7.77,1,Less than 5 hours,10,5,4,2
76748,25,1,0,5.91,1,More than 8 hours,12,3,8.5,0
76751,30,2,0,9.39,1,Less than 5 hours,1,4,4,0
76752,23,4,0,8.89,4,More than 8 hours,11,3,8.5,0
76765,27,5,0,5.64,1,5-6 hours,12,2,5.5,2
76772,27,5,0,8.24,1,7-8 hours,7,3,7.5,0
76795,27,5,0,6.75,1,7-8 hours,7,4,7.5,0
76801,31,5,0,7.08,2,More than 8 hours,7,1,8.5,0
76802,27,3,0,6.28,2,Less than 5 hours,8,3,4,2
76805,28,3,0,8.4,3,More than 8 hours,4,4,8.5,0
76814,27,5,0,5.42,1,Less than 5 hours,11,5,4,2
76816,27,3,0,9.96,2,7-8 hours,5,1,7.5,1
76830,25,2,0,9.71,2,Less than 5 hours,6,2,4,0
76832,26,1,0,5.16,4,Less than 5 hours,1,3,4,0
76837,20,4,0,5.82,5,More than 8 hours,8,2,8.5,0
76842,26,3,0,7.64,4,5-6 hours,12,2,5.5,2
76844,20,1,0,9.56,3,5-6 hours,0,2,5.5,0
76847,26,3,0,9.24,2,Less than 5 hours,6,3,4,0
76852,23,5,0,6.03,1,7-8 hours,12,3,7.5,0
76853,25,3,0,7.34,3,7-8 hours,0,1,7.5,1
76855,20,3,0,6.17,3,5-6 hours,8,1,5.5,2
76858,26,1,0,6.03,4,Less than 5 hours,4,3,4,0
76865,18,5,0,9.91,4,5-6 hours,10,5,5.5,2
76872,28,5,0,9.89,4,Less than 5 hours,11,1,4,2
76875,28,4,0,7.1,2,7-8 hours,9,3,7.5,0
76881,27,5,0,7.75,2,Less than 5 hours,3,3,4,2
76904,31,3,0,9.93,3,7-8 hours,7,2,7.5,1
76907,24,4,0,8.35,4,More than 8 hours,10,3,8.5,0
76909,34,1,0,7.25,1,Less than 5 hours,0,5,4,0
76912,34,4,0,8.44,2,Less than 5 hours,4,5,4,2
76918,25,5,0,6.83,4,Less than 5 hours,10,5,4,2
76923,30,1,0,9.19,1,More than 8 hours,2,2,8.5,0
76924,18,2,0,9.89,4,More than 8 hours,0,1,8.5,0
76935,19,5,0,8.88,5,Less than 5 hours,11,5,4,2
76940,34,3,0,8.35,3,Less than 5 hours,6,3,4,0
76946,29,1,0,5.72,5,Less than 5 hours,0,3,4,0
76947,29,3,0,6.47,5,Less than 5 hours,9,4,4,2
76952,23,2,0,6.83,2,More than 8 hours,12,2,8.5,0
76957,31,5,0,6.75,1,More than 8 hours,10,1,8.5,0
76974,32,5,0,9.31,3,More than 8 hours,6,3,8.5,0
76975,30,3,0,9.96,2,5-6 hours,8,5,5.5,2
76979,33,2,0,7.09,2,5-6 hours,11,3,5.5,2
76986,22,2,0,7.53,3,More than 8 hours,6,1,8.5,0
76987,24,4,0,7.15,4,5-6 hours,3,3,5.5,2
76990,22,2,0,5.6,1,Less than 5 hours,6,4,4,0
76994,25,1,0,7.64,2,5-6 hours,11,3,5.5,2
76997,25,3,0,7.6,5,Less than 5 hours,8,1,4,2
76998,20,5,0,5.67,3,Less than 5 hours,0,4,4,2
76999,34,4,0,9.49,1,5-6 hours,0,4,5.5,2
77008,24,1,0,6.37,2,7-8 hours,10,4,7.5,0
77010,28,4,0,5.55,3,7-8 hours,10,4,7.5,0
77014,27,2,0,5.16,2,More than 8 hours,12,5,8.5,0
77016,34,1,0,8.73,3,Less than 5 hours,11,3,4,2
77031,26,2,0,5.51,5,7-8 hours,10,3,7.5,1
77032,24,4,0,8.73,4,More than 8 hours,8,3,8.5,0
77038,23,4,0,7.91,3,More than 8 hours,0,3,8.5,0
77045,19,4,0,7.5,4,Less than 5 hours,5,3,4,2
77046,24,2,0,8.21,2,7-8 hours,0,2,7.5,1
77051,20,3,0,7.1,2,Less than 5 hours,9,5,4,2
77063,34,3,0,8.04,2,7-8 hours,10,4,7.5,1
77067,24,5,0,5.74,2,5-6 hours,12,2,5.5,2
77070,29,2,0,9.39,5,More than 8 hours,8,3,8.5,0
77074,20,4,0,10,5,Less than 5 hours,11,5,4,2
77092,27,1,0,9.72,4,More than 8 hours,2,4,8.5,0
77093,30,4,0,8.04,4,7-8 hours,12,5,7.5,0
77095,23,4,0,6.25,3,Less than 5 hours,10,3,4,2
77109,33,1,0,7.82,5,7-8 hours,8,3,7.5,0
77119,28,4,0,5.16,2,More than 8 hours,12,5,8.5,0
77124,28,2,0,6.92,4,5-6 hours,12,2,5.5,2
77125,25,5,0,9.05,5,More than 8 hours,6,4,8.5,0
77129,23,3,0,5.76,5,Less than 5 hours,7,4,4,2
77144,20,1,0,5.12,4,7-8 hours,12,5,7.5,0
77145,21,1,0,7.13,5,5-6 hours,3,1,5.5,0
77156,24,4,0,8.39,3,More than 8 hours,8,3,8.5,0
77159,30,1,0,9.03,2,7-8 hours,0,1,7.5,0
77160,22,3,0,6.17,4,5-6 hours,10,3,5.5,2
77176,28,2,0,7.04,5,5-6 hours,3,5,5.5,1
77181,25,3,0,8.24,4,More than 8 hours,4,5,8.5,0
77183,21,1,0,5.75,4,7-8 hours,11,1,7.5,0
77187,20,1,0,7.24,2,Less than 5 hours,4,2,4,0
77188,30,2,0,5.85,4,7-8 hours,4,3,7.5,1
77191,32,4,0,7.08,5,5-6 hours,4,1,5.5,2
77197,25,2,0,9.02,4,Less than 5 hours,8,2,4,2
77202,20,3,0,5.16,1,7-8 hours,10,4,7.5,1
77220,33,4,0,8.08,4,Less than 5 hours,12,3,4,2
77229,25,4,0,9.93,4,7-8 hours,5,4,7.5,0
77231,35,4,0,9.21,3,5-6 hours,10,2,5.5,2
77235,23,5,0,6.04,2,7-8 hours,8,3,7.5,0
77243,28,4,0,6.75,1,5-6 hours,2,5,5.5,2
77244,23,1,0,7.04,1,5-6 hours,7,1,5.5,2
77256,27,1,0,9.93,3,More than 8 hours,5,4,8.5,0
77257,24,3,0,9.93,3,5-6 hours,0,5,5.5,1
77259,29,5,0,5.87,4,Less than 5 hours,4,3,4,2
77260,26,2,0,9.71,5,More than 8 hours,3,5,8.5,0
77262,24,3,0,9.94,5,5-6 hours,1,4,5.5,1
77269,18,3,0,6.7,1,5-6 hours,8,5,5.5,2
77275,24,5,0,6.53,2,5-6 hours,10,2,5.5,2
77285,20,4,0,9.96,2,7-8 hours,6,2,7.5,0
77296,20,1,0,6.38,5,7-8 hours,8,4,7.5,0
77306,21,1,0,6.17,2,More than 8 hours,3,3,8.5,0
77310,30,5,0,9.72,2,Less than 5 hours,5,5,4,2
77311,18,2,0,7.88,3,More than 8 hours,8,5,8.5,0
77320,34,3,0,9.44,3,More than 8 hours,10,2,8.5,0
77323,31,3,0,5.61,5,5-6 hours,12,4,5.5,2
77332,19,2,0,8.73,4,7-8 hours,9,3,7.5,1
77334,23,5,0,8.91,1,Less than 5 hours,6,4,4,2
77335,25,2,0,9.79,2,Less than 5 hours,3,4,4,0
77343,24,5,0,5.08,3,More than 8 hours,10,3,8.5,0
77344,33,4,0,7.7,1,7-8 hours,1,4,7.5,0
77347,24,3,0,6.99,2,More than 8 hours,10,5,8.5,0
77349,21,2,0,6.52,3,7-8 hours,0,4,7.5,1
77350,31,3,0,5.24,2,5-6 hours,12,4,5.5,2
77353,18,5,0,5.37,4,Less than 5 hours,9,5,4,2
77356,20,4,0,8.04,4,7-8 hours,4,5,7.5,0
77360,24,5,0,6.02,2,Less than 5 hours,12,5,4,2
77364,32,2,0,7.68,5,7-8 hours,10,3,7.5,1
77365,34,3,0,8.24,3,7-8 hours,7,3,7.5,1
77366,29,5,0,8.74,2,Less than 5 hours,8,4,4,2
77368,31,3,0,5.64,4,7-8 hours,12,2,7.5,1
77369,18,5,0,6.65,4,Less than 5 hours,6,1,4,2
77373,21,2,0,6.27,1,5-6 hours,3,3,5.5,1
77376,19,3,0,9.5,4,5-6 hours,6,3,5.5,1
77378,23,2,0,5.56,3,Less than 5 hours,12,3,4,2
77382,18,5,0,8.25,2,Less than 5 hours,10,5,4,2
77386,24,1,0,5.64,2,More than 8 hours,5,1,8.5,0
77388,23,1,0,9.78,2,Less than 5 hours,12,2,4,2
77401,29,1,0,6.47,1,5-6 hours,10,1,5.5,2
77403,20,4,0,8.03,2,More than 8 hours,0,2,8.5,0
77410,23,1,0,7.5,1,More than 8 hours,11,5,8.5,0
77411,20,4,0,8.17,4,More than 8 hours,10,1,8.5,0
77413,32,2,0,6.47,2,More than 8 hours,4,5,8.5,0
77416,34,5,0,5.37,3,More than 8 hours,5,1,8.5,0
77418,28,2,0,8.9,4,Less than 5 hours,10,4,4,2
77427,24,2,0,8.07,5,5-6 hours,3,2,5.5,1
77430,20,5,0,6.79,1,5-6 hours,0,5,5.5,2
77431,33,3,0,7.17,5,7-8 hours,3,1,7.5,1
77440,28,4,0,8.5,5,Less than 5 hours,12,4,4,2
77441,21,5,0,7.09,2,Less than 5 hours,12,5,4,2
77442,33,5,0,7.08,2,More than 8 hours,10,2,8.5,0
77443,27,3,0,8.28,2,7-8 hours,7,3,7.5,1
77449,19,4,0,8.04,5,7-8 hours,2,4,7.5,0
77459,20,4,0,5.47,4,More than 8 hours,4,1,8.5,0
77462,33,4,0,8.58,1,More than 8 hours,3,3,8.5,0
77465,28,5,0,8.61,1,5-6 hours,3,5,5.5,2
77471,20,3,0,6.37,4,More than 8 hours,12,5,8.5,0
77475,22,1,0,6.92,3,7-8 hours,8,3,7.5,0
77487,27,2,0,8.46,2,Less than 5 hours,10,5,4,2
77495,25,3,0,9.41,4,7-8 hours,0,1,7.5,1
77500,25,1,0,8.94,2,Less than 5 hours,7,3,4,2
77501,34,5,0,6.37,3,5-6 hours,8,4,5.5,2
77504,23,1,0,7.8,3,Less than 5 hours,10,5,4,2
77519,26,2,0,5.1,5,Less than 5 hours,5,5,4,0
77527,21,1,0,9.44,3,5-6 hours,10,3,5.5,2
77530,21,3,0,6.16,1,7-8 hours,11,5,7.5,1
77540,33,1,0,7.72,3,7-8 hours,11,4,7.5,0
77545,23,3,0,8.09,5,Less than 5 hours,3,4,4,0
77546,23,5,0,7.53,1,Less than 5 hours,12,4,4,2
77558,24,3,0,8.54,5,7-8 hours,10,4,7.5,1
77561,31,2,0,9.06,2,7-8 hours,10,3,7.5,1
77562,20,3,0,6.25,3,7-8 hours,0,5,7.5,1
77568,31,1,0,5.76,4,More than 8 hours,0,3,8.5,0
77573,29,3,0,9.56,4,More than 8 hours,1,2,8.5,0
77581,20,3,0,6,1,Less than 5 hours,6,5,4,0
77582,20,4,0,8.24,4,Less than 5 hours,7,4,4,2
77584,30,3,0,5.66,5,More than 8 hours,12,5,8.5,0
77588,22,4,0,9.37,1,7-8 hours,11,3,7.5,0
77591,24,4,0,6.75,1,7-8 hours,10,3,7.5,0
77597,28,1,0,7.47,4,5-6 hours,10,3,5.5,2
77598,24,4,0,5.82,2,More than 8 hours,11,4,8.5,0
77604,29,2,0,6.99,3,5-6 hours,12,3,5.5,2
77608,30,4,0,6.89,4,7-8 hours,2,5,7.5,0
77620,30,2,0,7.25,4,More than 8 hours,6,4,8.5,0
77626,20,3,0,8.58,5,5-6 hours,4,5,5.5,1
77633,21,1,0,8.14,1,5-6 hours,10,4,5.5,2
77640,27,3,0,8.08,1,Less than 5 hours,0,3,4,0
77650,23,5,0,8.88,1,5-6 hours,10,3,5.5,2
77657,25,2,0,9.05,1,5-6 hours,5,2,5.5,1
77659,30,3,0,9.63,2,Less than 5 hours,8,4,4,2
77668,25,2,0,9.44,3,More than 8 hours,6,1,8.5,0
77669,29,3,0,7.88,4,5-6 hours,6,4,5.5,1
77678,25,3,0,9.63,4,7-8 hours,11,4,7.5,1
77684,27,4,0,5.32,1,7-8 hours,8,5,7.5,0
77688,32,1,0,8.95,4,7-8 hours,0,2,7.5,0
77692,31,4,0,7.1,5,Less than 5 hours,10,5,4,2
77706,18,4,0,6.1,4,More than 8 hours,10,2,8.5,0
77719,18,4,0,7.53,2,7-8 hours,9,5,7.5,0
77720,23,3,0,7.71,1,7-8 hours,8,4,7.5,1
77726,34,4,0,7.85,3,Less than 5 hours,9,4,4,2
77735,21,3,0,9.25,2,7-8 hours,10,1,7.5,1
77739,24,1,0,7.43,3,Less than 5 hours,0,4,4,0
77751,19,3,0,5.77,1,5-6 hours,10,3,5.5,2
77758,29,5,0,8.25,1,Less than 5 hours,10,5,4,2
77759,33,1,0,7.52,1,7-8 hours,2,1,7.5,0
77766,32,4,0,6.78,3,More than 8 hours,11,5,8.5,0
77769,33,3,0,5.11,1,5-6 hours,11,3,5.5,2
77771,34,3,0,5.64,5,More than 8 hours,10,1,8.5,0
77775,32,1,0,7.8,3,5-6 hours,4,1,5.5,0
77779,33,5,0,8.25,1,7-8 hours,7,4,7.5,0
77782,25,4,0,8.11,4,7-8 hours,10,5,7.5,0
77783,32,1,0,9.95,1,5-6 hours,5,4,5.5,0
77785,18,5,0,9.26,4,More than 8 hours,11,5,8.5,0
77790,34,2,0,7.27,5,More than 8 hours,11,2,8.5,0
77793,22,4,0,5.83,2,7-8 hours,9,3,7.5,0
77801,33,3,0,8.73,1,7-8 hours,12,4,7.5,1
77805,26,3,0,9.88,2,5-6 hours,10,5,5.5,2
77806,28,5,0,8.59,5,5-6 hours,8,2,5.5,2
77811,27,3,0,9.19,3,More than 8 hours,9,4,8.5,0
77815,33,5,0,5.56,3,7-8 hours,12,3,7.5,0
77825,25,1,0,9.44,2,7-8 hours,9,1,7.5,0
77833,24,4,0,7.77,1,5-6 hours,8,4,5.5,2
77843,22,3,0,9.04,2,Less than 5 hours,0,2,4,0
77849,33,3,0,6.42,1,5-6 hours,9,3,5.5,2
77852,33,4,0,9.74,2,7-8 hours,2,2,7.5,0
77854,23,1,0,5.12,3,7-8 hours,8,2,7.5,0
77860,28,2,0,9.96,5,Less than 5 hours,12,5,4,2
77865,34,3,0,8.04,3,More than 8 hours,12,3,8.5,0
77866,24,3,0,8.24,5,More than 8 hours,4,2,8.5,0
77874,29,4,0,9.67,2,7-8 hours,1,4,7.5,0
77884,32,4,0,8.54,3,7-8 hours,12,4,7.5,0
77885,18,3,0,6.65,5,7-8 hours,10,1,7.5,1
77899,28,5,0,6.38,2,7-8 hours,6,1,7.5,0
77910,24,1,0,7.09,4,More than 8 hours,10,4,8.5,0
77921,34,2,0,9.93,2,7-8 hours,12,5,7.5,1
77924,25,3,0,8.95,5,Less than 5 hours,2,2,4,0
77925,20,2,0,9.33,2,More than 8 hours,2,3,8.5,0
77926,19,3,0,5.88,3,7-8 hours,1,3,7.5,1
77931,33,5,0,7.83,2,More than 8 hours,2,2,8.5,0
77933,22,4,0,8.08,3,More than 8 hours,12,1,8.5,0
77934,24,3,0,5.26,5,5-6 hours,8,2,5.5,2
77937,30,4,0,9.21,4,Less than 5 hours,5,5,4,2
77944,20,5,0,6.03,4,Less than 5 hours,10,1,4,2
77965,35,5,0,9.79,1,7-8 hours,11,5,7.5,0
77967,32,5,0,5.32,4,Less than 5 hours,6,2,4,2
77973,29,2,0,5.6,3,More than 8 hours,8,5,8.5,0
77976,24,4,0,6.99,4,7-8 hours,10,4,7.5,0
77980,19,2,0,7.68,2,Less than 5 hours,5,2,4,0
77981,19,3,0,5.55,4,More than 8 hours,8,2,8.5,0
77986,29,4,0,9.74,1,7-8 hours,10,1,7.5,0
77987,28,4,0,5.37,4,Less than 5 hours,12,4,4,2
77989,23,1,0,7.51,1,Less than 5 hours,3,1,4,0
77990,26,2,0,6.81,3,More than 8 hours,4,5,8.5,0
77999,25,2,0,9.24,5,5-6 hours,3,2,5.5,1
78000,20,1,0,8.58,5,Less than 5 hours,12,5,4,2
78011,32,4,0,6.89,3,5-6 hours,5,1,5.5,2
78012,23,1,0,10,3,More than 8 hours,12,3,8.5,0
78040,28,5,0,6.41,5,7-8 hours,7,2,7.5,0
78042,34,3,0,7.47,4,Less than 5 hours,3,4,4,0
78055,25,5,0,7.47,4,5-6 hours,10,5,5.5,2
78060,32,4,0,9.79,3,5-6 hours,3,2,5.5,2
78062,22,4,0,8.04,2,7-8 hours,3,1,7.5,0
78069,22,5,0,8.23,2,5-6 hours,1,4,5.5,2
78070,29,2,0,9.39,1,Less than 5 hours,1,4,4,0
78072,31,3,0,7.26,1,5-6 hours,12,3,5.5,2
78083,32,5,0,9.7,3,Less than 5 hours,3,4,4,2
78095,18,4,0,6.5,4,More than 8 hours,6,2,8.5,0
78103,21,3,0,8.1,4,Less than 5 hours,11,1,4,2
78107,19,2,0,8.04,2,Less than 5 hours,12,1,4,2
78116,24,4,0,6.47,3,7-8 hours,2,1,7.5,0
78117,28,5,0,8.08,2,5-6 hours,12,3,5.5,2
78118,32,3,0,5.11,4,5-6 hours,10,5,5.5,2
78120,26,1,0,6,2,7-8 hours,10,4,7.5,0
78136,28,1,0,6.21,3,More than 8 hours,10,5,8.5,0
78137,27,3,0,6.04,4,More than 8 hours,7,1,8.5,0
78141,18,2,0,5.7,2,5-6 hours,10,4,5.5,2
78158,34,1,0,8.61,1,Less than 5 hours,3,2,4,0
78160,24,3,0,7.09,2,5-6 hours,12,5,5.5,2
78172,24,2,0,5.74,3,Less than 5 hours,8,3,4,2
78179,20,2,0,7.21,3,7-8 hours,8,1,7.5,1
78181,25,2,0,7.46,3,7-8 hours,12,1,7.5,1
78188,24,4,0,6.78,4,More than 8 hours,0,5,8.5,0
78192,30,1,0,6.25,4,7-8 hours,12,4,7.5,0
78200,33,5,0,9.54,1,Less than 5 hours,10,5,4,2
78208,19,4,0,9.84,2,7-8 hours,8,1,7.5,0
78210,32,1,0,8.75,4,More than 8 hours,4,3,8.5,0
78219,20,1,0,7.38,4,More than 8 hours,0,1,8.5,0
78224,19,1,0,7.25,4,Less than 5 hours,7,3,4,2
78225,27,3,0,8.28,2,7-8 hours,10,3,7.5,1
78235,19,5,0,9.72,2,7-8 hours,4,5,7.5,0
78246,27,4,0,8.04,2,More than 8 hours,12,5,8.5,0
78250,29,2,0,8.04,3,5-6 hours,3,3,5.5,1
78252,25,5,0,5.46,5,More than 8 hours,6,1,8.5,0
78258,32,3,0,9.56,1,Less than 5 hours,11,4,4,2
78260,18,3,0,5.77,2,Less than 5 hours,8,3,4,2
78272,21,3,0,6.08,5,Less than 5 hours,5,1,4,0
78279,34,4,0,7.25,1,7-8 hours,10,4,7.5,0
78314,18,1,0,6.89,4,Less than 5 hours,11,3,4,2
78317,28,3,0,5.77,1,More than 8 hours,8,4,8.5,0
78318,20,2,0,8.73,4,More than 8 hours,9,4,8.5,0
78322,33,3,0,6.89,2,5-6 hours,12,4,5.5,2
78329,22,2,0,9.42,3,7-8 hours,2,2,7.5,1
78338,22,1,0,8.52,1,5-6 hours,5,4,5.5,0
78342,19,2,0,5.56,4,More than 8 hours,6,3,8.5,0
78344,25,2,0,5.85,3,More than 8 hours,6,4,8.5,0
78346,32,3,0,6.16,4,More than 8 hours,0,3,8.5,0
78349,32,5,0,6,3,More than 8 hours,8,5,8.5,0
78352,20,3,0,6.99,3,7-8 hours,12,3,7.5,1
78353,29,2,0,5.51,4,Less than 5 hours,10,2,4,2
78354,23,3,0,9.56,1,7-8 hours,9,3,7.5,1
78359,31,5,0,7.35,2,7-8 hours,5,5,7.5,0
78361,18,3,0,7.34,5,More than 8 hours,4,4,8.5,0
78365,28,2,0,9.04,2,More than 8 hours,2,5,8.5,0
78369,27,5,0,8.79,4,7-8 hours,10,3,7.5,0
78375,20,4,0,8.43,4,More than 8 hours,2,5,8.5,0
78376,20,5,0,5.86,1,Less than 5 hours,12,5,4,2
78377,20,2,0,9.1,1,7-8 hours,11,3,7.5,1
78379,34,4,0,7.09,4,5-6 hours,10,2,5.5,2
78384,29,4,0,6.16,3,Less than 5 hours,11,5,4,2
78386,24,4,0,7.92,1,7-8 hours,8,2,7.5,0
78397,20,3,0,7.77,4,7-8 hours,1,1,7.5,1
78400,28,3,0,8.98,5,7-8 hours,9,4,7.5,1
78401,30,2,0,9.21,2,Less than 5 hours,8,2,4,2
78407,29,1,0,9.21,3,5-6 hours,9,2,5.5,2
78418,19,3,0,7.88,4,Less than 5 hours,10,5,4,2
78427,28,4,0,8.95,2,More than 8 hours,0,2,8.5,0
78428,24,3,0,8.27,2,5-6 hours,11,5,5.5,2
78433,23,3,0,7.82,4,5-6 hours,9,2,5.5,2
78434,19,3,0,7.6,5,5-6 hours,2,3,5.5,1
78437,29,2,0,8.85,2,Less than 5 hours,0,3,4,0
78445,28,3,0,8.88,3,5-6 hours,7,2,5.5,2
78447,33,3,0,7.77,5,7-8 hours,6,4,7.5,1
78451,28,4,0,9.49,4,7-8 hours,10,5,7.5,0
78452,24,5,0,9.72,1,More than 8 hours,2,1,8.5,0
78477,30,1,0,9.84,2,5-6 hours,10,2,5.5,2
78480,19,4,0,8.95,1,More than 8 hours,10,5,8.5,0
78487,20,3,0,7.25,5,Less than 5 hours,10,5,4,2
78488,25,2,0,9.39,1,More than 8 hours,4,5,8.5,0
78497,27,4,0,8.04,1,Less than 5 hours,8,5,4,2
